,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
0,数据分析师（周末双休）,/job_detail/672f833efcd691e81nJ83dS7FlJW.html,广州·天河区·天河公园,5-10K,1-3年,大专,云养邦,/gongsi/af2c36da3dad02841nN73Nu_GQ~~.html,电子商务,未融资,20-99人,"['Excel', '数据分析师', '数据分析', '数据统计', '数据挖掘', '数据', '分析']",零食下午茶，弹性工作，节日福利，周末双休，年终奖，餐补，午休2小时，员工旅游，定期体检，带薪年假，五险一金，加班补助
1,跨境电商数据分析师-双休-法定假期,/job_detail/b9e9c8a28899475e1XVy292_ElFQ.html,广州·白云区·石井,10-15K,3-5年,本科,广州盛为电子,/gongsi/9c8852fb4e9939e40nxy39S9.html,电子商务,未融资,100-499人,"['SQL', 'SPSS', 'SAS', 'Excel', '数据', '数据分析', '跨境电商']",全勤奖，餐补，年终奖，住房补贴，节日福利，零食下午茶，交通补助
2,数据分析,/job_detail/e2f855a50a3de5581Xd63Ni_GVBS.html,广州·天河区·员村,18-26K·13薪,5-10年,本科,益世界,/gongsi/fbef1b3b9d9dfab31nd53tS9EVQ~.html,游戏,不需要融资,500-999人,"['Python', '数据分析', '数据', '游戏']",全勤奖，餐补，年终奖，节日福利，员工旅游，零食下午茶，带薪年假，定期体检，包吃，五险一金
3,数据分析师,/job_detail/d6754d97b6724e391nJ73dy-GVBW.html,广州·白云区·广园路,7-12K,1-3年,本科,欧博,/gongsi/01b9df91bc8f10a11H163dW4.html,电子商务,未融资,1000-9999人,"['Excel', '数据分析', '电商数据', '电商财务', '财务数据']",餐补，包吃
4,数据分析师,/job_detail/cf710e448bb541f70HJ62t66FVQ~.html,广州·天河区·岗顶,12-17K,3-5年,本科,爱知之星,/gongsi/97a0809423ca67cb03Z63N0~.html,计算机软件,已上市,100-499人,"['SQL', '数据分析', '运营商', 'BI工程师', 'ORACLE', '数据开发']",餐补，加班补助，补充医疗保险，五险一金，零食下午茶，带薪年假，交通补助，通讯补贴，定期体检，年终奖，股票期权，节日福利
5,数据分析师,/job_detail/8d268277096cdec90Xd809S7EVA~.html,广州,20-35K·15薪,1-3年,本科,广州智品网络科技公司,/gongsi/aab61fcbea18ed1c0XR_3Nq6.html,移动互联网,A轮,100-499人,"['数据分析', '商业数据分析', '产品思维']",定期体检，五险一金
6,数据分析师,/job_detail/853ce0f783787e501nR73t60GVJX.html,广州·天河区·元岗,10-11K,1-3年,本科,智汇基因,/gongsi/eece8b9ab9867db21nZ62Ny4FFI~.html,学术/科研,,0-20人,"['数据分析', 'R语言', 'R', '数据挖掘', 'Java', 'Perl', 'Python']",
7,数据分析师,/job_detail/b06432e4198b1fa91XV53d24GVpW.html,广州·黄埔区·知识城,7-10K·13薪,3-5年,本科,六维教育,/gongsi/e403f81f2b1cbefb0nN_3dy8Fw~~.html,培训机构,未融资,100-499人,['数据分析'],股票期权，个人成长课程，全勤奖，交通补助，节日福利，带薪年假，五险一金，年终奖，定期体检，补充医疗保险，零食下午茶，餐补，通讯补贴，住房补贴，员工旅游
8,数据分析师【2022届校招】,/job_detail/cef91c914926b3ee1nN_29S-E1tW.html,广州·番禺区·番禺广场,15-25K·16薪,在校/应届,本科,BIGO,/gongsi/d1539fda413000a10XB-0tW6.html,移动互联网,已上市,1000-9999人,['数据'],住房补贴，五险一金，补充医疗保险，定期体检，全勤奖，带薪年假，股票期权，年终奖
9,数据分析师,/job_detail/f7e5e43700013ac51nxz2dW0FFQ~.html,广州·黄埔区·荔联,5-6K·13薪,1-3年,本科,协手,/gongsi/47523289bc670b731HR_29m8.html,电子商务,天使轮,20-99人,"['数据分析', '系统运维', '数据架构']",带薪年假，节日福利，加班补助，员工旅游，零食下午茶
